
# This file can be used as a template for user-created/modified analysis inputs in the context of this particular model for these particular command-line arguments.
# The row after next MUST remain in the file in order for it to be parsable by the CSV reader. They indicate the following:
cell-total, time-start, time-col, cell-start, cell-end, specie-option,
100,0,0,0,100,1,1,1,1,

inhibitor,activator,inhibitor_dt,activator_dt,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.843,1.12701,0.186,
0.6,0.843,1.56714,0.186,
-0.280266,0.423112,0.937046,-0.653775,

0.72,1.02,1.9008,0.24,
-0.308626,0.491318,1.09521,-0.817363,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,1.013,1.37823,0.226,
0.72,1.013,1.89254,0.226,
-0.308626,0.491318,1.09521,-0.817363,

0.84,1.19,2.2316,0.28,
-0.331563,0.554898,1.2393,-0.990205,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
-0.331563,1.183,1.63616,0.266,
0.84,1.183,2.22194,0.266,
